date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:28	253/253	---MCZ	200	added ('OK')	text/plain	date:Mon,%2009%20Jun%202025%2013:11:27%20GMT	https://sumitauto.codedesign.app/robots.txt		(from )
22:11:28	463534/463534	---MCZ	200	added ('OK')	text/html	etag:%22712ae-QHqzFG7cufqyRaB49u4ZYNX6tZg%22	https://sumitauto.codedesign.app/	/Users/monsoon/websites/test/sumitauto.codedesign.app/index.html	(from )
22:11:29	49423/49423	---MCZ	200	added ('OK')	text/css	etag:W/%22c10f-19731845914%22	https://sumitauto.codedesign.app/_next/static/css/a916cb54997d3c2d.css	/Users/monsoon/websites/test/sumitauto.codedesign.app/_next/static/css/a916cb54997d3c2d.css	(from https://sumitauto.codedesign.app/)
22:11:30	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%221652a-19731845914%22	https://sumitauto.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	/Users/monsoon/websites/test/sumitauto.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	(from https://sumitauto.codedesign.app/)
22:11:31	3793/3793	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ed1-19731845914%22	https://sumitauto.codedesign.app/_next/static/chunks/webpack-953ad915444e343f.js	/Users/monsoon/websites/test/sumitauto.codedesign.app/_next/static/chunks/webpack-953ad915444e343f.js	(from https://sumitauto.codedesign.app/)
22:11:32	87544/87544	---MCZ	200	added ('OK')	application/javascript	etag:W/%22155f8-19731845914%22	https://sumitauto.codedesign.app/_next/static/chunks/main-cdea4baeaba177b1.js	/Users/monsoon/websites/test/sumitauto.codedesign.app/_next/static/chunks/main-cdea4baeaba177b1.js	(from https://sumitauto.codedesign.app/)
22:11:32	861/861	---M--	200	added ('OK')	application/javascript	etag:W/%2235d-19731845914%22	https://sumitauto.codedesign.app/_next/static/chunks/framework-acb9ef830b9b8407.js	/Users/monsoon/websites/test/sumitauto.codedesign.app/_next/static/chunks/framework-acb9ef830b9b8407.js	(from https://sumitauto.codedesign.app/)
22:11:34	888195/888195	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d8d83-19731845914%22	https://sumitauto.codedesign.app/_next/static/chunks/pages/_app-e21b45a9ad1eb435.js	/Users/monsoon/websites/test/sumitauto.codedesign.app/_next/static/chunks/pages/_app-e21b45a9ad1eb435.js	(from https://sumitauto.codedesign.app/)
22:11:35	11486/11486	---MCZ	200	added ('OK')	application/javascript	etag:W/%222cde-19731845914%22	https://sumitauto.codedesign.app/_next/static/chunks/pages/%5B%5B...slug%5D%5D-db1b4a2b49ac863a.js	/Users/monsoon/websites/test/sumitauto.codedesign.app/_next/static/chunks/pages/[[...slug]]-db1b4a2b49ac863a.js	(from https://sumitauto.codedesign.app/)
22:11:35	310/310	---M--	200	added ('OK')	application/javascript	etag:W/%22136-19731845914%22	https://sumitauto.codedesign.app/_next/static/ngQIDTtYTocWleUWPQGqZ/_buildManifest.js	/Users/monsoon/websites/test/sumitauto.codedesign.app/_next/static/ngQIDTtYTocWleUWPQGqZ/_buildManifest.js	(from https://sumitauto.codedesign.app/)
22:11:36	77/77	---M--	200	added ('OK')	application/javascript	etag:W/%224d-19731845914%22	https://sumitauto.codedesign.app/_next/static/ngQIDTtYTocWleUWPQGqZ/_ssgManifest.js	/Users/monsoon/websites/test/sumitauto.codedesign.app/_next/static/ngQIDTtYTocWleUWPQGqZ/_ssgManifest.js	(from https://sumitauto.codedesign.app/)
22:11:37	92/92	---M--	200	added ('OK')	application/javascript	etag:W/%225c-19731848e00%22	https://sumitauto.codedesign.app/_next/static/ngQIDTtYTocWleUWPQGqZ/_middlewareManifest.js	/Users/monsoon/websites/test/sumitauto.codedesign.app/_next/static/ngQIDTtYTocWleUWPQGqZ/_middlewareManifest.js	(from https://sumitauto.codedesign.app/)
22:11:39	309695/309695	---MCZ	200	added ('OK')	text/html	etag:%224b9bf-Qeu+23XTCfxGu3nwfdnfMrNN6yU%22	https://sumitauto.codedesign.app/about	/Users/monsoon/websites/test/sumitauto.codedesign.app/about.html	(from https://sumitauto.codedesign.app/)
22:11:40	309699/309699	---MCZ	200	added ('OK')	text/html	etag:%224b9c3-6hzAK1Hw2nMfe8syS+F1xMQkupM%22	https://sumitauto.codedesign.app/service	/Users/monsoon/websites/test/sumitauto.codedesign.app/service.html	(from https://sumitauto.codedesign.app/)
22:11:41	309699/309699	---MCZ	200	added ('OK')	text/html	etag:%224b9c3-yzlF/GGmgFPmP0CoIu2dqsMUU8A%22	https://sumitauto.codedesign.app/contact	/Users/monsoon/websites/test/sumitauto.codedesign.app/contact.html	(from https://sumitauto.codedesign.app/)
